fLength,fWidth,fSize,fAsym,fM3Long,fAlpha,class
29.3424,16.1814,2.5496,-51.8263,23.7665,39.189,0
47.8275,18.509,2.747,28.7838,-29.0817,4.798,0
73.2547,19.5552,2.5545,-44.1258,34.5939,23.149,0
26.0862,12.5473,2.4099,16.3451,14.9018,4.1527,0
94.2369,17.6341,2.7727,-97.071,50.552,1.854,0
38.1089,15.08,2.3927,-21.4336,-29.3931,13.741,0
33.5874,17.46,2.5821,-49.0296,-7.6514,25.657,0
50.8293,20.0939,3.3959,38.7703,41.463,3.6565,0
25.0275,12.8142,2.5391,-12.5331,-8.9993,65.2451,0
26.8928,17.7678,2.8439,-1.6706,-8.159,23.821,0
28.0883,6.8084,2.2504,-7.7092,-17.4113,27.549,0
35.8144,12.3164,2.57,17.8018,20.673,23.123,0
29.3108,14.6309,2.6464,6.1452,-19.1932,24.109,0
19.6419,0,2.2,-0.5678,5.2697,34.817,0
23.6924,8.8987,2.3181,23.9812,14.1032,27.014,0
27.4888,18.5665,2.8639,2.8405,6.1522,23.5868,0
117.749,33.2446,3.1921,98.9071,129.932,2.582,0
26.8971,19.2128,2.7657,-12.9068,4.6154,41.065,0
13.1994,10.8032,2.224,-14.5262,1.8356,54.0277,0
25.1576,12.8638,2.4564,-24.1639,11.1073,47.777,0
18.2028,15.8708,2.4526,18.9639,18.329,2.5957,0
70.6584,19.8319,3.1041,-96.9809,52.5046,0.45,0
101.703,39.5491,3.9457,-157.872,70.4115,4.0677,0
58.1232,23.5601,2.8837,-49.22,-33.4621,20.194,0
20.7445,17.3249,2.5916,11.7553,17.0726,25.7775,0
56.2418,16.5703,2.8943,71.8585,39.648,1.574,0
70.2768,24.5132,3.3917,83.3498,48.9676,2.9261,0
81.2317,32.2546,3.7262,35.5667,66.9446,4.155,0
32.7059,17.1981,2.5804,46.6935,13.1053,40.3711,0
42.3725,20.2021,3.2909,-4.4911,26.362,0.6925,0
80.3994,14.9183,2.8445,36.0787,76.0508,5.066,0
25.5688,19.0735,2.2911,16.7068,25.194,74.308,0
16.9286,11.2814,2.4116,-1.2345,5.8021,18.5125,0
18.8734,17.772,2.5821,-14.6576,-16.9343,17.1286,0
34.1619,21.2966,2.9974,-4.6579,-11.6112,11.6079,0
30.0005,21.6966,2.934,23.3297,17.6318,27.943,0
41.3848,32.4617,2.7938,-20.4985,28.2927,9.628,0
25.2228,13.6075,2.3738,-12.181,-12.8844,66.649,0
21.6891,10.3849,2.316,5.8526,-17.6826,1.5485,0
20.5839,12.8876,2.4191,12.5054,12.7741,26.586,0
25.2091,10.6551,2.3701,10.6071,21.1038,41.563,0
35.7062,13.2892,2.3664,-32.1031,-25.7479,1.2543,0
62.6886,22.612,3.2496,-100.913,-25.4533,3.121,0
19.7366,7.3095,2.1383,-3.5091,10.3719,24.7838,0
48.4695,18.1279,2.9917,19.6222,46.8981,6.955,0
22.5702,0,2.1629,5.3609,-15.2145,80.3449,0
18.249,10.4383,2.2529,22.8063,10.1469,15.8259,0
28.4148,13.01,2.4778,28.2765,20.1871,13.6965,0
47.6,13.413,2.8092,41.1158,33.8544,2.608,0
33.3528,17.6866,2.7551,15.898,27.6711,8.709,0
97.794,26.8347,3.5327,29.7042,95.3544,3.2128,0
13.1155,10.1083,2.1973,12.3051,7.4928,58.845,0
52.8479,21.5505,2.9462,-53.2694,27.9502,6.087,0
40.6097,20.5874,2.9117,-5.5945,16.0028,0.774,0
65.6069,33.6033,3.8528,-84.0021,43.5019,0.7567,0
63.8128,26.2233,3.5143,44.5465,46.5522,1.919,0
22.5539,9.7776,2.2068,-4.0544,16.5945,9.215,0
59.817,14.838,2.8808,-110.45,53.9825,5.235,0
27.1044,9.7779,2.4241,-12.2606,-14.8614,29.844,0
21.776,12.7202,2.356,8.4346,15.5208,22.3655,0
20.6454,6.839,2.2844,20.3461,14.9016,2.7533,0
91.6174,39.9496,4.0942,-105.167,83.687,3.0094,0
60.8598,18.7033,2.6128,42.4917,33.7518,4.182,0
35.577,15.0526,2.9805,15.679,14.3568,2.0711,0
31.6173,24.2115,2.7197,-23.7309,2.8864,22.951,0
85.9355,29.9215,3.0755,-44.0508,-20.0659,4.7597,0
20.0777,12.6181,2.404,14.1429,15.066,36.457,0
59.6124,30.8693,3.4791,26.7671,54.7397,1.1057,0
72.969,19.2006,3.008,-47.3236,42.1489,4.087,0
20.7154,7.1982,2.2443,1.5153,-8.8118,88.4999,0
23.807,10.0712,2.4289,7.3563,16.856,10.378,0
24.38,17.4654,2.616,17.1472,19.777,0.8652,0
36.5237,15.3246,2.4786,-57.2893,29.2074,12.715,0
19.0154,12.8813,2.5085,8.3826,17.2241,58.903,0
23.8915,12.8584,2.534,-19.4911,-14.9193,6.2472,0
82.3156,17.9964,2.7404,-55.8407,-62.4659,10.08,0
72.8104,14.3361,3.096,-54.9261,58.5437,0.644,0
20.4525,7.2419,2.1775,2.1721,-9.6562,9.1256,0
23.6179,20.0571,2.5224,-1.574,-15.0956,47.786,0
80.0169,29.9756,3.6714,20.4369,24.4273,4.142,0
20.7779,7.1383,2.081,-23.7708,-10.7906,28.79,0
37.3516,16.8653,2.7882,4.4937,31.5053,1.713,0
25.0056,16.7048,2.2753,10.5704,18.3557,4.2353,0
42.1289,16.1025,2.4969,-37.9885,-22.3351,12.9801,0
24.3343,14.9489,2.5302,16.4085,14.006,10.288,0
17.8912,15.0832,2.3075,1.5604,11.248,44.74,0
21.6327,17.2218,2.5434,7.9688,9.6019,10.615,0
60.7883,27.5272,2.8868,88.6317,-19.3902,5.097,0
78.6493,34.0613,3.7751,82.1473,66.0231,3.227,0
84.2741,33.3225,3.8949,43.638,73.8035,3.7714,0
77.5343,18.8832,3.2671,46.2902,94.0484,1.892,0
20.5321,15.3265,2.4829,21.9631,14.7728,44.9,0
33.7616,14.4511,2.7941,39.2425,30.9736,32.377,0
68.0121,27.6698,3.0824,-14.268,44.4184,3.9746,0
23.1657,12.7022,2.2201,18.2871,9.4278,82.0505,0
42.1441,13.7346,2.7459,31.7383,19.1549,1.7038,0
36.079,13.2636,2.3793,37.1098,-17.1724,26.3559,0
74.3456,37.459,3.2412,59.8813,83.1157,31.553,0
101.424,41.0631,4.1837,78.3723,90.4413,6.1992,0
43.1994,17.501,2.8011,44.9467,40.3342,7.6914,0
61.6933,18.0011,2.9015,47.4507,38.9838,2.926,0
23.2114,18.431,2.7466,22.8049,22.652,2.8462,0
25.2455,19.0726,2.6191,13.6337,11.1564,81.6368,0
78.2002,23.1372,3.2357,57.955,86.1356,12.616,0
31.5256,7.4577,2.3324,33.1918,21.022,10.2785,0
57.1656,19.9402,2.9978,11.2262,44.4537,12.267,0
26.3353,16.2775,2.6522,-30.4934,-15.3203,27.835,0
45.8894,15.7069,2.4065,-48.0214,22.4139,1.7371,0
39.2192,14.1085,2.8534,36.9605,31.7324,9.1923,0
52.221,12.2973,2.6435,-25.0167,-41.2341,5.096,0
23.1587,0.0046,2.1319,25.3507,15.0322,61.5621,0
19.7592,12.1812,2.3664,3.6595,-11.2892,18.354,0
32.5377,19.6957,2.8561,25.8408,21.2875,27.297,0
23.153,21.0028,2.8065,28.0575,19.6679,27.621,0
36.9017,24.9234,3.0876,-2.4734,-13.2831,1.9727,0
29.1556,12.5696,2.5441,-9.3565,21.4041,1.925,0
100.747,16.6321,2.944,-110.411,74.4191,0.305,0
46.5588,28.6929,3.3971,17.6816,46.0987,12.727,0
33.3045,14.4421,2.6862,1.7249,-9.9052,5.2437,0
29.8023,10.9847,2.2999,27.7037,24.3173,0.352,0
86.5346,40.6201,4.1111,35.8899,74.5456,4.8152,0
64.6445,28.8301,2.7168,104.88,-54.6747,10.304,0
64.4081,23.7635,3.1281,65.7484,41.2256,1.0067,0
20.683,7.2158,2.0233,-1.1217,7.933,56.923,0
68.8466,17.4731,2.7835,-132.189,67.6255,0.137,0
31.5283,21.6599,2.8618,7.1639,22.6167,50.0234,0
90.239,14.5621,2.8293,-129.945,37.1621,3.241,0
20.9663,12.7298,2.3274,16.9437,5.9588,47.8491,0
13.0557,10.9159,2.2188,-14.0863,5.2668,74.1884,0
79.9539,31.9315,3.1602,53.3845,87.6757,17.7108,0
44.9999,25.6517,3.03,-19.3494,-12.726,46.1539,0
26.611,14.1842,2.4878,29.0377,20.5257,29.5051,0
70.457,22.9878,3.0195,43.5397,68.1553,34.2372,0
36.9794,24.1174,2.9834,11.2818,8.5158,46.43,0
16.3371,11.6489,2.3464,-0.8501,4.6868,69.7431,0
71.2234,17.8914,2.9445,68.4368,71.1737,7.615,0
45.8732,11.2837,2.5653,43.4461,-19.3437,4.6366,0
33.429,29.8932,2.7792,-13.7784,-31.4401,29.644,0
43.351,17.7081,2.9287,37.3736,31.5782,20.664,0
56.2479,20.9217,3.1942,33.813,36.6852,0.556,0
100.226,28.222,3.3769,-42.0608,-33.4996,4.4376,0
34.4244,9.6598,2.4955,-29.8832,23.1758,27.604,0
22.2442,11.3451,2.5735,-6.2041,-19.0011,6.6462,0
37.3887,19.1897,2.5843,-28.1468,-21.6535,1.818,0
92.6284,33.594,3.5469,-57.3109,62.6011,6.878,0
32.2468,13.0261,2.6532,-14.0759,-25.0816,16.2095,0
50.0122,17.8938,3.0388,42.9603,19.7787,2.8523,0
63.7616,24.1374,3.1096,56.2044,57.895,3.473,0
68.9648,25.5221,3.1307,-76.6982,52.6603,0.402,0
80.7093,47.2876,3.5386,-49.9844,88.2266,30.763,0
49.6601,22.0999,3.1746,17.9069,-25.4435,5.4509,0
22.8274,12.9011,2.2355,-13.6277,-12.0722,33.5573,0
50.5984,25.8939,3.0586,10.7891,35.9762,8.44,0
22.4236,15.8256,2.5938,1.5724,-20.7925,53.815,0
37.6518,15.2293,2.8561,24.9532,37.9769,7.803,0
21.1221,9.3478,2.2967,18.4225,20.1723,75.3948,0
70.4799,18.7963,2.7906,-88.956,43.637,4.5199,0
26.466,18.778,2.6107,13.4573,9.0185,6.6995,0
19.4731,12.2939,2.4556,-1,9.8855,53.7383,0
18.9671,12.7729,2.4417,16.1166,11.5546,31.4965,0
33.5123,15.0057,2.4742,33.7307,27.5196,6.8985,0
49.2754,14.5068,2.7509,20.2038,38.108,1.985,0
114.806,22.8821,2.6716,-50.8563,-130.103,41.91,0
24.5581,15.468,2.6628,10.2036,12.6949,26.996,0
17.1997,7.3014,2.2844,3.4739,4.489,19.79,0
86.5389,16.3152,2.8756,48.9056,72.2829,1.53,0
12.871,9.8459,2.2516,11.2062,8.4149,40.035,0
36.1618,25.9263,3.1178,14.0562,20.1419,33.371,0
21.1474,16.8163,2.5599,29.268,-11.5756,35.595,0
13.123,10.9616,2.1569,14.6416,-4.0114,88.1516,0
53.5736,25.803,3.5737,39.2808,58.4267,7.596,0
29.1123,18.0166,2.635,11.2887,26.7753,36.953,0
74.4746,13.4246,2.9717,18.4636,76.5354,5.847,0
29.4259,17.0431,2.4526,-14.6546,-15.5914,45.059,0
40.749,26.1492,3.2122,29.9765,-24.5987,8.364,0
33.8898,17.6924,2.9647,13.8792,25.8841,6.891,0
85.6478,20.1038,3.3537,-43.2684,61.6568,0.7472,0
21.4944,10.4204,2.2304,-4.4301,16.7152,14.8311,0
35.9225,14.7049,2.5224,-5.9833,-17.4181,2.969,0
38.5491,19.1817,3.0384,-2.0615,27.1747,7.8488,0
32.0949,13.4114,2.6915,40.987,17.3007,14.233,0
29.9358,23.5957,2.7427,21.8132,13.6714,39.0829,0
24.8738,19.3399,2.7675,24.2257,-13.6964,31.2269,0
13.1469,10.548,2.2467,-13.3907,-4.7953,27.3603,0
23.6426,0,2.3149,2.7603,-12.9376,0,0
36.2124,9.5335,2.3838,-22.2515,-24.4503,27.4653,0
31.3143,18.0536,2.873,1.2051,14.7875,1.6985,0
80.0634,31.6829,3.7285,30.1971,73.1529,0.57,0
45.5567,16.8422,2.9263,33.8612,24.1014,3.378,0
20.5056,12.823,2.3531,9.9865,14.0662,1.701,0
88.6611,23.5917,3.3842,41.6122,91.629,0.71,0
23.8669,15.7684,2.639,-16.3651,-17.0472,20.646,0
29.669,19.4103,2.5521,-22.4237,-21.0367,12.24,0
32.4734,11.2154,2.7271,15.6316,30.4684,6.915,0
91.9495,29.2949,3.3654,-48.1293,43.1926,4.1635,0
48.6413,19.3526,2.8048,37.0506,20.0806,11.287,0
12.691,11.6996,2.0233,15.6692,-8.7521,79.5407,0
23.2097,19.4279,2.7251,11.7908,20.3361,24.8586,0
43.1149,20.6045,2.9609,38.0039,23.6864,2.4098,0
34.3373,16.4943,2.8109,-2.201,-29.0313,48.259,0
50.1872,27.6518,3.4718,14.543,53.802,17.073,0
43.9615,20.2437,3.1313,-27.2263,-20.6041,6.846,0
24.598,12.202,2.5955,-16.8541,-16.6278,8.0075,0
40.9468,18.4822,2.7882,8.9986,-21.5671,3.655,0
33.1959,11.5356,2.6289,25.683,27.794,6.484,0
35.5524,15.3608,2.7945,-10.5469,22.0225,13.69,0
18.1069,10.398,2.2788,21.4803,11.3674,45.778,0
23.3353,20.2994,2.6721,-19.4629,-17.4883,29.1324,0
31.8025,12.3285,2.3502,-15.7609,-6.2242,9.822,0
19.8547,11.7229,2.4807,-4.6572,13.4459,42.523,0
72.7983,23.2986,3.3429,46.2421,59.0347,7.4414,0
18.0762,11.9477,2.4464,3.1824,-10.1699,20.997,0
19.6908,9.72,2.3054,-24.1813,-9.5954,25.149,0
92.3205,31.3727,3.0948,96.7367,-55.23,2.0919,0
18.9658,7.402,2.1414,-3.1037,8.6013,76.0739,0
38.525,28.8308,3.0257,15.7854,11.6545,2.3112,0
109.37,7.2912,2.4116,-50.3473,-90.9952,0.589,0
31.0208,10.3206,2.5218,-37.1024,-15.7849,8.2969,0
37.6758,25.6146,3.6018,19.5589,28.2246,20.1948,0
68.6967,24.7983,3.1733,19.6607,76.9693,3.4614,0
22.7946,17.6215,2.2889,-25.018,-12.1896,37.2132,0
72.912,10.4211,2.6693,20.5709,77.5674,9.402,0
74.1464,20.7143,2.7348,-31.1356,53.6291,4.802,0
58.4387,17.4136,2.9342,82.5458,42.7297,3.1218,0
62.1547,22.8527,3.4072,-15.0925,43.1847,3.4278,0
18.7703,10.0147,2.4031,21.682,11.9557,50.86,0
24.1417,18.2322,2.7853,3.201,-13.1804,89.2231,0
85.4576,31.2369,3.2899,-64.0511,50.385,2.245,0
54.2845,17.4844,2.6217,-14.1093,-62.4836,1.7076,0
19.7692,15.8392,2.6821,-19.1665,-15.8836,83.8778,0
20.6147,7.1962,2.1414,2.3508,-10.1138,25.643,0
53.6832,18.8762,2.8048,-33.6288,-22.3987,0.803,0
108.261,35.2459,3.9109,50.724,90.2158,1.873,0
64.713,25.9065,3.5062,22.1605,56.6713,1.569,0
63.6676,17.6143,2.5877,45.3996,63.7663,20.872,0
49.8142,14.8314,2.372,-46.6986,-30.2335,14.103,0
47.4667,17.912,2.7181,57.3802,33.9482,11.762,0
41.504,21.5189,2.6794,-40.125,-31.0859,12.8677,0
47.1637,19.347,2.9363,30.0344,40.5783,7.132,0
70.6596,30.9809,3.1274,-77.6508,48.7238,11.138,0
66.5662,28.6046,3.5894,35.167,40.3408,0.4,0
28.3371,24.9896,2.968,27.1233,22.0479,7.208,0
53.7088,16.6628,2.8695,20.2522,53.7607,11.677,0
79.7124,35.2208,3.3244,10.1771,-28.5291,2.129,0
30.251,13.6492,2.6946,-1.3097,17.8866,2.103,0
20.7708,16.7921,2.5815,6.1544,11.5784,72.2425,0
27.1848,14.0718,2.4893,-17.8425,14.9077,47.377,0
66.8289,20.5976,2.8979,-96.7076,-28.5553,5.1606,0
35.8341,21.9779,2.7864,21.3774,-18.5377,6.11,0
57.8911,22.2757,2.8497,88.1908,-36.4026,8.217,0
62.7644,25.1345,3.7026,34.1638,64.2319,4.1234,0
30.3706,22.2166,3.0177,-18.1745,-15.7373,6.7334,0
23.3751,12.5305,2.3243,28.3051,4.9827,33.8435,0
101.178,26.3345,3.1982,58.0917,109.953,3.1693,0
39.2852,14.4233,2.7396,47.5036,37.0007,11.679,0
12.7592,11.6189,2.2162,15.1407,-4.8943,1.2142,0
34.2513,17.3507,2.7202,-16.3295,-18.29,4.939,0
23.2118,10.7747,2.2455,-23.5159,-19.3164,7.755,0
43.0546,19.9313,2.5676,-9.9563,30.6469,12.089,0
20.7417,15.2144,2.4669,2.6314,-10.302,16.395,0
22.3238,11.6049,2.5231,28.8057,10.4378,18.82,0
79.6309,30.9289,3.466,73.8548,71.5445,2.3084,0
32.9957,12.5757,2.4175,20.9195,26.5732,71.066,0
60.012,19.0335,2.9398,63.7436,29.51,11.1868,0
26.1033,19.74,2.7657,0.2545,-7.5265,5.4609,0
40.0436,29.8364,3.3093,43.8255,22.922,1.6058,0
18.8932,15.3311,2.4822,3.915,-16.1011,14.71,0
43.9241,10.9225,2.7202,-10.3197,-22.4855,21.329,0
23.6577,9.8458,2.243,-32.3346,16.0048,26.831,0
28.4739,21.2686,2.6862,26.7542,12.1834,25.431,0
70.0225,26.4199,3.3192,-74.3157,60.8729,3.902,0
72.7908,23.7428,3.5405,34.9796,74.514,4.2311,0
30.5807,12.704,2.2253,-19.9214,-13.3648,0.0648,0
35.086,19.428,3.1159,-10.5013,20.5008,11.3154,0
31.3015,12.9583,2.4616,39.4292,16.4468,7.923,0
25.7334,16.1706,2.7316,6.2344,22.7043,49.1483,0
19.6633,9.2678,2.2304,-20.4804,-14.1482,81.0899,0
42.7735,24.0127,2.7447,-27.2832,-27.861,13.269,0
23.9467,14.5395,2.634,-18.8146,12.5722,60.493,0
37.6122,14.3011,2.7404,6.1052,21.3123,28.521,0
22.241,8.9672,2.2529,0.7829,10.3637,32.6097,0
27.506,17.6938,2.7263,-28.9954,12.4763,3.3162,0
21.1305,12.5141,2.4057,-26.9401,-12.1122,81.2274,0
27.515,14.227,2.6196,-14.2964,-16.8821,8.977,0
31.5473,16.5484,2.5993,-1.0313,-21.8471,10.6245,0
18.0693,9.6759,2.3598,-19.5487,-12.7659,84.2593,0
67.9187,18.5575,2.9001,-0.1913,29.7202,9.654,0
27.8546,16.5647,2.882,-12.7839,-19.3784,4.1367,0
81.8495,36.8892,2.772,-98.2812,25.5609,16.194,0
23.4123,14.7674,2.4997,8.6813,14.9779,39.4624,0
70.2288,28.4154,3.1828,-19.6781,65.1319,1.562,0
34.1392,18.3298,2.5599,33.6157,16.5571,13.7301,0
29.0976,15.3475,2.6243,12.7534,6.2127,36.077,0
29.4748,14.7801,2.8264,-19.2304,-15.1459,10.721,0
38.941,22.4191,3.2844,23.2233,27.294,13.913,0
20.8484,12.248,2.437,-26.4809,-10.5577,68.6674,0
88.0174,21.6106,3.2456,77.0907,78.2005,6.986,0
59.0112,26.2465,3.5361,48.3117,45.5126,1.8811,0
79.539,22.7182,3.4649,21.7908,75.6075,1.6851,0
106.364,49.748,4.3237,10.6809,83.0956,0.624,0
34.9792,22.7377,3.0222,4.3277,13.4747,4.075,0
12.4899,11.9789,2.1688,15.9987,-8.5835,45.6611,0
55.8434,21.4546,3.2007,-27.225,-27.5871,5.4306,0
68.7354,20.5108,2.9251,46.1909,45.2258,9.3666,0
64.5226,14.9087,2.5557,79.1655,-40.6169,0.47,0
31.5737,19.7566,2.6258,14.159,-5.5612,29.603,0
38.3448,14.1032,2.8238,40.6911,26.0716,0.1899,0
37.7253,16.6038,2.7716,19.6874,33.9511,15.834,0
26.7751,18.1128,2.6556,19.1387,14.3378,66.0281,0
33.0776,12.6328,2.5126,12.1478,-23.3928,29.307,0
42.1712,11.9324,2.4829,45.024,17.3649,10.7626,0
67.2302,17.0296,2.9664,-126.614,59.9437,13.9446,0
62.3261,18.0596,2.7574,60.5019,49.8049,73.9247,0
63.7006,19.4801,3.2033,65.4462,46.0652,8.519,0
36.852,25.1337,3.0052,19.2474,29.5049,8.877,0
38.7558,15.7457,2.8041,40.2922,14.8127,3.952,0
57.7702,19.8409,3.146,33.752,43.2779,6.527,0
88.5562,23.4657,3.6856,74.4441,72.9694,0.8794,0
41.745,19.728,3.1065,36.2267,34.9348,1.2137,0
17.2692,11.1405,2.2504,1.2627,-6.3159,40.0799,0
23.1041,16.8594,2.4281,-15.7757,-11.8597,21.8327,0
35.315,16.4057,2.6871,44.3245,29.9203,5.231,0
30.7339,13.3786,2.5484,-17.5294,-25.4043,4.661,0
46.3706,21.9331,2.9206,26.5122,32.6991,2.447,0
47.0893,20.5962,2.9763,13.9659,39.1249,2.621,0
19.7221,15.8656,2.6248,7.4801,13.3605,31.983,0
32.9203,27.2356,3.2348,13.4766,28.0548,13.181,0
31.4417,19.7318,2.9827,23.7303,21.7099,27.914,0
77.8088,24.8816,3.233,67.6469,77.1651,19.558,0
71.9672,29.0411,3.4757,-26.1392,61.4417,2.8019,0
37.4443,24.6122,3.0257,6.9242,27.5978,7.341,0
94.8276,37.9939,4.0896,10.1907,86.3984,1.024,0
38.0902,23.3226,3.2331,30.0035,27.8475,25.6015,0
27.1239,17.6472,3.058,2.558,8.1116,16.169,0
28.9475,20.2296,2.78,19.3121,16.1185,56.0565,0
12.9683,11.098,2.3149,14.3448,-6.908,38.1314,0
35.7536,18.467,2.9834,1.9518,-23.523,0.226,0
43.9643,15.1253,2.8454,-24.454,-25.9433,1.228,0
58.6495,27.8697,3.0837,-6.1004,-38.1196,6.845,0
72.6419,23.1654,3.0101,-32.2986,41.3698,2.1522,0
